Hotel_Name,Hotel_Web_Link,Cheapest_Provider,Price,Review_Count,Distance,Amenities_1,Amenities_2
Select Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d236586-Reviews-Select_Hotel-Paris_Ile_de_France.html,Expedia.com,$138 ,"1,189 reviews",0.7 miles,Free Wifi,Room Service
Hotel Au Royal Cardinal,https://www.tripadvisor.com/Hotel_Review-g187147-d242973-Reviews-Hotel_Au_Royal_Cardinal-Paris_Ile_de_France.html,Expedia.com,$99 ,526 reviews,0.7 miles,Free Wifi,
Hotel Le Clement,https://www.tripadvisor.com/Hotel_Review-g187147-d197436-Reviews-Hotel_Le_Clement-Paris_Ile_de_France.html,Official Site,$92 ,409 reviews,0.7 miles,Free Wifi,
Hotel Vendome Saint Germain,https://www.tripadvisor.com/Hotel_Review-g187147-d233569-Reviews-Hotel_Vendome_Saint_Germain-Paris_Ile_de_France.html,Agoda.com,$110 ,115 reviews,0.7 miles,Free Wifi,
Hotel Bellan,https://www.tripadvisor.com/Hotel_Review-g187147-d1119723-Reviews-Hotel_Bellan-Paris_Ile_de_France.html,Agoda.com,$125 ,119 reviews,0.7 miles,Free Wifi,
Hotel des Deux Continents,https://www.tripadvisor.com/Hotel_Review-g187147-d222918-Reviews-Hotel_des_Deux_Continents-Paris_Ile_de_France.html,Agoda.com,$115 ,198 reviews,0.7 miles,Free Wifi,
Hotel Design Sorbonne,https://www.tripadvisor.com/Hotel_Review-g187147-d302989-Reviews-Hotel_Design_Sorbonne-Paris_Ile_de_France.html,Expedia.com,$130 ,"1,336 reviews",0.7 miles,Free Wifi,
Hotel des Marronniers,https://www.tripadvisor.com/Hotel_Review-g187147-d194280-Reviews-Hotel_des_Marronniers-Paris_Ile_de_France.html,Agoda.com,$124 ,354 reviews,0.7 miles,Free Wifi,Bar/Lounge
Hotel Trianon Rive Gauche,https://www.tripadvisor.com/Hotel_Review-g187147-d228737-Reviews-Hotel_Trianon_Rive_Gauche-Paris_Ile_de_France.html,Agoda.com,$139 ,790 reviews,0.7 miles,Free Wifi,Room Service
Hotel Cluny Sorbonne,https://www.tripadvisor.com/Hotel_Review-g187147-d279384-Reviews-Hotel_Cluny_Sorbonne-Paris_Ile_de_France.html,Booking.com,$101 ,421 reviews,0.7 miles,Free Wifi,
Hotel de Sully,https://www.tripadvisor.com/Hotel_Review-g187147-d195458-Reviews-Hotel_de_Sully-Paris_Ile_de_France.html,Hotels.com,$78 ,166 reviews,0.7 miles,Free Wifi,
Hotel Esprit Saint Germain,https://www.tripadvisor.com/Hotel_Review-g187147-d483519-Reviews-Hotel_Esprit_Saint_Germain-Paris_Ile_de_France.html,Travelocity,$331 ,284 reviews,0.7 miles,Free Wifi,Room Service
Hotel Excelsior Latin,https://www.tripadvisor.com/Hotel_Review-g187147-d230465-Reviews-Hotel_Excelsior_Latin-Paris_Ile_de_France.html,Hotels.com,$120 ,"1,160 reviews",0.7 miles,Free Wifi,
Hotel Fontaines du Luxembourg,https://www.tripadvisor.com/Hotel_Review-g187147-d229671-Reviews-Hotel_Fontaines_du_Luxembourg-Paris_Ile_de_France.html,Official Site,$86 ,364 reviews,0.7 miles,Free Wifi,
Hotel Michelet Odeon,https://www.tripadvisor.com/Hotel_Review-g187147-d611702-Reviews-Hotel_Michelet_Odeon-Paris_Ile_de_France.html,Expedia.com,$106 ,335 reviews,0.7 miles,Free Wifi,
La Villa Saint-Germain,https://www.tripadvisor.com/Hotel_Review-g187147-d194310-Reviews-La_Villa_Saint_Germain-Paris_Ile_de_France.html,Official Site,$199 ,709 reviews,0.7 miles,Free Wifi,Room Service
Grand Hotel Saint-Michel,https://www.tripadvisor.com/Hotel_Review-g187147-d194274-Reviews-Grand_Hotel_Saint_Michel-Paris_Ile_de_France.html,Expedia.com,$124 ,"1,033 reviews",0.7 miles,Free Wifi,Room Service
Hotel Cujas Pantheon,https://www.tripadvisor.com/Hotel_Review-g187147-d292941-Reviews-Hotel_Cujas_Pantheon-Paris_Ile_de_France.html,Expedia.com,$87 ,528 reviews,0.7 miles,Free Wifi,
Hotel des Trois Colleges,https://www.tripadvisor.com/Hotel_Review-g187147-d239644-Reviews-Hotel_des_Trois_Colleges-Paris_Ile_de_France.html,Hotels.com,$142 ,97 reviews,0.7 miles,Free Wifi,Room Service
Hotel le Senat,https://www.tripadvisor.com/Hotel_Review-g187147-d250387-Reviews-Hotel_le_Senat-Paris_Ile_de_France.html,Orbitz.com,$161 ,657 reviews,0.7 miles,Free Wifi,Room Service
Hotel Le Clos Medicis,https://www.tripadvisor.com/Hotel_Review-g187147-d233737-Reviews-Hotel_Le_Clos_Medicis-Paris_Ile_de_France.html,Official Site,$86 ,596 reviews,0.7 miles,Free Wifi,Room Service
Hotel Saint-Louis Marais,https://www.tripadvisor.com/Hotel_Review-g187147-d236512-Reviews-Hotel_Saint_Louis_Marais-Paris_Ile_de_France.html,Expedia.com,$151 ,279 reviews,0.7 miles,,
Hotel du Vieux Saule,https://www.tripadvisor.com/Hotel_Review-g187147-d233764-Reviews-Hotel_du_Vieux_Saule-Paris_Ile_de_France.html,Expedia.com,$126 ,186 reviews,0.7 miles,Free Wifi,Room Service
Hotel Saint Germain des Pres,https://www.tripadvisor.com/Hotel_Review-g187147-d220196-Reviews-Hotel_Saint_Germain_des_Pres-Paris_Ile_de_France.html,Expedia.com,$135 ,327 reviews,0.7 miles,Free Wifi,
Madison Hotel by MH,https://www.tripadvisor.com/Hotel_Review-g187147-d228699-Reviews-Madison_Hotel_by_MH-Paris_Ile_de_France.html,Orbitz.com,$226 ,777 reviews,0.7 miles,Free Wifi,Restaurant
"Hotel d'Angleterre, Saint Germain des Pres",https://www.tripadvisor.com/Hotel_Review-g187147-d194277-Reviews-Hotel_d_Angleterre_Saint_Germain_des_Pres-Paris_Ile_de_France.html,Hotwire.com,$207 ,242 reviews,0.7 miles,Free Wifi,Breakfast included
Hotel de la Place des Vosges,https://www.tripadvisor.com/Hotel_Review-g187147-d195455-Reviews-Hotel_de_la_Place_des_Vosges-Paris_Ile_de_France.html,Travelocity,$121 ,225 reviews,0.7 miles,Free Wifi,Room Service
Hotel du Louvre,https://www.tripadvisor.com/Hotel_Review-g187147-d189700-Reviews-Hotel_du_Louvre-Paris_Ile_de_France.html,Hotels.com,$277 ,"2,178 reviews",0.7 miles,Free Wifi,Restaurant
Bel Ami Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d233593-Reviews-Bel_Ami_Hotel-Paris_Ile_de_France.html,Agoda.com,$332 ,"1,257 reviews",0.8 miles,Free Wifi,Restaurant
Hotel Le 123 Sebastopol - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d4800782-Reviews-Hotel_Le_123_Sebastopol_Astotel-Paris_Ile_de_France.html,Orbitz.com,$163 ,"1,731 reviews",0.8 miles,Free Wifi,Room Service
Hotel Relais Saint Sulpice,https://www.tripadvisor.com/Hotel_Review-g187147-d228797-Reviews-Hotel_Relais_Saint_Sulpice-Paris_Ile_de_France.html,Travelocity,$178 ,159 reviews,0.7 miles,Free Wifi,
Timhotel Palais Royal Louvre,https://www.tripadvisor.com/Hotel_Review-g187147-d229626-Reviews-Timhotel_Palais_Royal_Louvre-Paris_Ile_de_France.html,Hotel Website,$97 ,462 reviews,0.8 miles,Free Wifi,
Crystal Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d228731-Reviews-Crystal_Hotel-Paris_Ile_de_France.html,Orbitz.com,$354 ,336 reviews,0.8 miles,Free Wifi,
La Clef Louvre,https://www.tripadvisor.com/Hotel_Review-g187147-d208089-Reviews-La_Clef_Louvre-Paris_Ile_de_France.html,Expedia.com,$379 ,662 reviews,0.8 miles,Free Wifi,Room Service
Montpensier,https://www.tripadvisor.com/Hotel_Review-g187147-d254326-Reviews-Montpensier-Paris_Ile_de_France.html,Hotels.com,$88 ,792 reviews,0.8 miles,Free Wifi,Room Service
My Hotel in France le Marais by HappyCulture,https://www.tripadvisor.com/Hotel_Review-g187147-d1413256-Reviews-My_Hotel_in_France_le_Marais_by_HappyCulture-Paris_Ile_de_France.html,Official Site,$67 ,819 reviews,0.8 miles,Free Wifi,
Drawing Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d12100636-Reviews-Drawing_Hotel-Paris_Ile_de_France.html,Orbitz.com,$163 ,63 reviews,0.8 miles,Free Wifi,Room Service
Hotel Da Vinci & Spa,https://www.tripadvisor.com/Hotel_Review-g187147-d6675948-Reviews-Hotel_Da_Vinci_Spa-Paris_Ile_de_France.html,Agoda.com,$221 ,804 reviews,0.8 miles,Free Wifi,Pool
