Airline_Name,Stops,departure,arrival,arrival_time,Flight_duration,No_of_stops,return_departure,return_arrival,return_duration,flight_Score,Cheapest_Price,Cheapest_Website
United,1 stop,BOS 7:02 AM,CDG,9:30 AM,20h 28m,2 stops,CDG 7:00 AM,BOS 7:30 PM,18h 30m,FlyScore: 6.8,$564 ,United
United,1 stop,BOS 5:00 AM,CDG,9:30 AM,22h 30m,2 stops,CDG 7:00 AM,BOS 6:00 PM,17h 0m,FlyScore: 6.7,$564 ,United
United,1 stop,BOS 5:00 AM,CDG,9:30 AM,22h 30m,2 stops,CDG 7:00 AM,BOS 6:39 PM,17h 39m,FlyScore: 6.4,$564 ,United
United,1 stop,BOS 5:00 AM,CDG,9:30 AM,22h 30m,2 stops,CDG 7:00 AM,BOS 7:30 PM,18h 30m,FlyScore: 6.6,$564 ,United
United,2 stops,BOS 10:29 AM,CDG,6:55 AM,14h 26m,1 stop,CDG 6:30 AM,BOS 6:35 PM,18h 5m,FlyScore: 6.7,$565 ,United
United,2 stops,BOS 8:31 AM,CDG,6:55 AM,16h 24m,1 stop,CDG 6:30 AM,BOS 6:35 PM,18h 5m,FlyScore: 6.5,$565 ,United
,,,,,,,,,,,,
,,,,,,,,,,,,
United,1 stop,BOS 2:16 PM,CDG,6:55 AM,10h 39m,1 stop,CDG 9:45 AM,BOS 3:55 PM,12h 10m,FlyScore: 7.5,$567 ,United
United,1 stop,BOS 2:16 PM,CDG,6:55 AM,10h 39m,1 stop,CDG 12:25 PM,BOS 6:39 PM,12h 14m,FlyScore: 7.4,$567 ,United
,2 stops,,,11:30 AM,16h 30m,2 stops,,,4h 55m,,,
United,1 stop,BOS 2:16 PM,CDG,6:55 AM,10h 39m,1 stop,CDG 9:45 AM,BOS 5:00 PM,13h 15m,FlyScore: 7.4,$567 ,United
,,,,,,,,,,,,
United,1 stop,BOS 3:00 PM,CDG,9:30 AM,12h 30m,1 stop,CDG 9:45 AM,BOS 3:55 PM,12h 10m,FlyScore: 7.4,$567 ,United
United,1 stop,BOS 3:00 PM,CDG,9:30 AM,12h 30m,1 stop,CDG 12:25 PM,BOS 6:39 PM,12h 14m,FlyScore: 7.4,$567 ,United
United,1 stop,BOS 2:16 PM,CDG,6:55 AM,10h 39m,1 stop,CDG 9:45 AM,BOS 6:00 PM,14h 15m,FlyScore: 7.4,$567 ,United
,,,,,,,,,,,,
United,1 stop,BOS 3:00 PM,CDG,9:30 AM,12h 30m,1 stop,CDG 9:45 AM,BOS 5:00 PM,13h 15m,FlyScore: 7.4,$567 ,United
United,1 stop,BOS 2:16 PM,CDG,6:55 AM,10h 39m,1 stop,CDG 9:45 AM,BOS 7:30 PM,15h 45m,FlyScore: 7.3,$567 ,United
United,1 stop,BOS 1:00 PM,CDG,9:30 AM,14h 30m,1 stop,CDG 9:45 AM,BOS 3:55 PM,12h 10m,FlyScore: 7.3,$567 ,United
United,1 stop,BOS 1:00 PM,CDG,9:30 AM,14h 30m,1 stop,CDG 12:25 PM,BOS 6:39 PM,12h 14m,FlyScore: 7.3,$567 ,United
United,1 stop,BOS 3:00 PM,CDG,9:30 AM,12h 30m,1 stop,CDG 9:45 AM,BOS 6:00 PM,14h 15m,FlyScore: 7.3,$567 ,United
